Name,Population(2016),Population(2011),Change(%),Area(km²),Population Density
Barrie,141434,136063,3.9,99.04,1428.0
Belleville,50716,49454,2.6,247.25,205.1
Brampton,593638,523911,13.3,266.36,2228.7
Brant,36707,35638,3.0,843.25,43.5
Brantford,97496,93650,4.1,72.44,1345.9
Brockville,21346,21870,−2.4,20.85,1023.6
Burlington,183314,175779,4.3,185.66,987.3
Cambridge,129920,126748,2.5,113.01,1149.6
Clarence-Rockland,24512,23185,5.7,297.71,82.3
Cornwall,46589,46340,0.5,61.56,756.8
Dryden,7749,7617,1.7,66.19,117.1
Elliot Lake,10741,11348,−5.3,714.65,15.0
Greater Sudbury,161531,160274,0.8,3228.35,50.0
Guelph,131794,121688,8.3,87.22,1511.1
Haldimand County,45608,44876,1.6,1251.54,36.4
Hamilton,536917,519949,3.3,1117.29,480.6
Kawartha Lakes,75423,73214,3.0,3084.38,24.5
Kenora,15096,15348,−1.6,211.59,71.3
Kingston,123798,123363,0.4,451.19,274.4
Kitchener,233222,219153,6.4,136.77,1705.2
London,383822,366151,4.8,420.35,913.1
Markham,328966,301709,9.0,212.35,1549.2
Mississauga,721599,713443,1.1,292.43,2467.6
Niagara Falls,88071,82997,6.1,209.73,419.9
Norfolk County,64044,63175,1.4,1607.55,39.8
North Bay,51553,53651,−3.9,319.11,161.6
Orillia,31166,30586,1.9,28.58,1090.3
Oshawa,159458,149607,6.6,145.64,1094.9
Ottawa,934243,883391,5.8,2790.3,334.8
Owen Sound,21341,21688,−1.6,24.27,879.2
Pembroke,13882,14360,−3.3,14.56,953.3
Peterborough,81032,78698,2.9,64.25,1261.2
Pickering,91771,88721,3.4,231.55,396.3
Port Colborne,18306,18424,−0.6,121.96,150.1
Prince Edward County,24735,25258,−2.1,1050.49,23.5
Quinte West,43577,43086,1.1,494.02,88.2
Richmond Hill,195022,185541,5.1,101.11,1928.8
Sarnia,71594,72366,−1.1,164.85,434.3
Sault Ste. Marie,73368,75141,−2.4,223.24,328.6
St. Catharines,133113,131400,1.3,96.13,1384.8
St. Thomas,38909,37905,2.6,35.63,1092.1
Stratford,31465,30886,1.8,28.28,1112.5
Temiskaming Shores,9920,10400,−4.6,178.11,55.7
Thorold,18801,17931,4.9,82.99,226.5
Thunder Bay,107909,108359,−0.4,328.36,328.6
Timmins,41788,43165,−3.2,2978.83,14.0
Toronto,2731571,2615060,4.5,630.2,4334.4
Vaughan,306233,288301,6.2,273.56,1119.4
Waterloo,104986,98780,6.3,64.02,1639.8
Welland,52293,50631,3.3,81.04,645.3
Windsor,217188,210891,3.0,146.38,1483.8
Woodstock,40902,37754,8.3,48.97,835.3
Total cities,9900179,9478924,2.39,26045.14,813.91
